episode,total_reward,episode_steps,actor_loss,critic_loss,entropy_mean,value,target,advantage,mean_value,mean_target,mean_advantage,batch_size,total_raw_reward,entropy_mean_mean,entropy_mean_std,value_mean,value_min,value_max,prob_no_jump_mean,prob_jump_mean,selected_action_prob_mean
0,-128.0,8,-0.017290398478507996,0.4398515820503235,0.6931470036506653,0.015299612656235695,-1.6093254089355469e-06,-0.015301242470741272,0.015299612656235695,-1.6093254089355469e-06,-0.015301242470741272,8,-128.0,0.6931469440460205,2.8894424985992373e-07,0.01529961172491312,-0.02007230371236801,0.0764576867222786,0.49976545572280884,0.5002345442771912,0.4999924302101135
1,-143.0,10,-0.06396792829036713,0.5079678297042847,0.6931458711624146,0.08128499984741211,-2.3841858265427618e-08,-0.08128498494625092,0.08128499984741211,-2.3841858265427618e-08,-0.08128498494625092,10,-143.0,0.6931458711624146,6.344465646179742e-07,0.08128499239683151,-0.0219817403703928,0.3583979606628418,0.5007661581039429,0.4992338716983795,0.5001347064971924
2,-139.0,9,-0.023090055212378502,0.4516577124595642,0.693142294883728,0.022904707118868828,-1.430511474609375e-06,-0.022906145080924034,0.022904707118868828,-1.430511474609375e-06,-0.022906145080924034,9,-139.0,0.6931422352790833,2.677126758499071e-06,0.022904712706804276,-0.01919042505323887,0.09144629538059235,0.501517117023468,0.4984828531742096,0.49975094199180603
3,-157.0,9,-0.1068156287074089,0.5306137204170227,0.6931369304656982,0.1455729454755783,1.3245476715439963e-08,-0.1455729603767395,0.1455729454755783,1.3245476715439963e-08,-0.1455729603767395,9,-157.0,0.6931369304656982,5.204410626902245e-06,0.1455729603767395,0.02661087177693844,0.3363626301288605,0.5021883845329285,0.4978116750717163,0.5005453824996948
4,-118.0,13,-0.0867505595088005,0.4089933931827545,0.6931315064430237,0.11251947283744812,1.8133566754841013e-06,-0.11251764744520187,0.11251947283744812,1.8133566754841013e-06,-0.11251764744520187,13,-118.0,0.6931315064430237,6.0867719184898306e-06,0.11251947283744812,-0.013267265632748604,0.32407134771347046,0.5027515888214111,0.4972483813762665,0.5010198354721069
5,-137.0,9,-0.0767565593123436,0.4962940812110901,0.6931318044662476,0.10127470642328262,-6.622738357719982e-09,-0.10127469897270203,0.10127470642328262,-6.622738357719982e-09,-0.10127469897270203,9,-137.0,0.6931318044662476,2.3992874957912136e-06,0.10127469152212143,0.04037509113550186,0.200459286570549,0.5027642846107483,0.4972357153892517,0.5009752511978149
6,-146.0,10,-0.06825113296508789,0.44963884353637695,0.6931225061416626,0.08790723979473114,-5.677342187482282e-07,-0.0879078209400177,0.08790723979473114,-5.677342187482282e-07,-0.0879078209400177,10,-146.0,0.6931225061416626,1.1886367246916052e-05,0.08790723979473114,-0.015560065396130085,0.3053641617298126,0.5034188032150269,0.49658116698265076,0.4977576732635498
7,-164.0,19,-0.08135592192411423,0.47298020124435425,0.6931284070014954,0.10478778183460236,-7.779974566801684e-07,-0.10478854179382324,0.10478778183460236,-7.779974566801684e-07,-0.10478854179382324,19,-164.0,0.6931284070014954,6.413395112758735e-06,0.10478778928518295,0.015138903632760048,0.19953736662864685,0.5030171871185303,0.4969828128814697,0.49986532330513
8,-178.0,16,-0.07949806749820709,0.47326335310935974,0.6931227445602417,0.10341444611549377,3.129243850708008e-07,-0.10341416299343109,0.10341444611549377,3.129243850708008e-07,-0.10341416299343109,16,-178.0,0.6931227445602417,6.113254585216055e-06,0.10341444611549377,0.0060816565528512,0.28636664152145386,0.5034687519073486,0.49653124809265137,0.49899911880493164
9,-134.0,15,-0.0948634222149849,0.48358994722366333,0.6931169629096985,0.12252470850944519,-1.033147185580674e-07,-0.12252484261989594,0.12252470850944519,-1.033147185580674e-07,-0.12252484261989594,15,-134.0,0.6931169629096985,9.332585250376724e-06,0.12252470850944519,0.0063364822417497635,0.2782132029533386,0.5038444995880127,0.4961554706096649,0.5011470913887024
